Spotnum	Time	TX	txGrid	RX	rxGrid	MHz	Watts	SNR	drift	km	az	mode	km/W	spotQ	version
4870885137	2022-10-24 20:20	VU3CER	MK68	F61695	LG79sc	28.126022	0.2	-19	-3	4772	204	2	23860	11267	2.6.0-rc4
4870887545	2022-10-24 20:20	VU3CER	MK68	VU3FOE	MK78xm	28.126028	0.2	12	-3	316	89	2	1580	2107	2.5.4
4870876039	2022-10-24 20:18	VU3CER	MK68	F61695	LG79sc	28.126025	0.2	-23	-3	4772	204	2	23860	8616	2.6.0-rc4
4870877489	2022-10-24 20:18	VU3CER	MK68	VU3FOE	MK78xm	28.126081	0.2	2	-3	316	89	2	1580	1668	2.5.4
4870860425	2022-10-24 20:14	VU3CER	MK68	VU3FOE	MK78xm	28.12603	0.2	14	-2	316	89	2	1580	2194	2.5.4
4870857840	2022-10-24 20:14	VU3CER	MK68	F61695	LG79sc	28.126024	0.2	-18	-2	4772	204	2	23860	11930	2.6.0-rc4
4870840521	2022-10-24 20:10	VU3CER	MK68	VU3FOE	MK78xm	28.126029	0.2	15	-3	316	89	2	1580	2238	2.5.4
4870840097	2022-10-24 20:10	VU3CER	MK68	F61695	LG79sc	28.126023	0.2	-17	-3	4772	204	2	23860	12593	2.6.0-rc4
4870835272	2022-10-24 20:08	VU3CER	MK68	VU3FOE	MK78xm	28.126032	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870834417	2022-10-24 20:08	VU3CER	MK68	F61695	LG79sc	28.126025	0.2	-24	-2	4772	204	2	23860	7953	2.6.0-rc4
4870818971	2022-10-24 20:04	VU3CER	MK68	VU3FOE	MK78xm	28.126031	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870818105	2022-10-24 20:04	VU3CER	MK68	F61695	LG79sc	28.126025	0.2	-24	-2	4772	204	2	23860	7953	2.6.0-rc4
4870799956	2022-10-24 20:00	VU3CER	MK68	VU3FOE	MK78xm	28.126031	0.2	14	-4	316	89	2	1580	2194	2.5.4
4870797753	2022-10-24 20:00	VU3CER	MK68	F61695	LG79sc	28.126025	0.2	-19	-3	4772	204	2	23860	11267	2.6.0-rc4
4870781728	2022-10-24 19:56	VU3CER	MK68	VU3FOE	MK78xm	28.126031	0.2	15	-1	316	89	2	1580	2238	2.5.4
4870765986	2022-10-24 19:52	VU3CER	MK68	VU3FOE	MK78xm	28.126031	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870750033	2022-10-24 19:48	VU3CER	MK68	VU3FOE	MK78xm	28.126031	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870734380	2022-10-24 19:44	VU3CER	MK68	VU3FOE	MK78xm	28.12603	0.2	14	-3	316	89	2	1580	2194	2.5.4
4870716214	2022-10-24 19:40	VU3CER	MK68	VU3FOE	MK78xm	28.126029	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870696587	2022-10-24 19:36	VU3CER	MK68	VU3FOE	MK78xm	28.126028	0.2	15	-4	316	89	2	1580	2238	2.5.4
4870683574	2022-10-24 19:32	VU3CER	MK68	VU3FOE	MK78xm	28.126028	0.2	16	-2	316	89	2	1580	2282	2.5.4
4870669117	2022-10-24 19:28	VU3CER	MK68	VU3FOE	MK78xm	28.126027	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870654331	2022-10-24 19:24	VU3CER	MK68	VU3FOE	MK78xm	28.126027	0.2	15	-3	316	89	2	1580	2238	2.5.4
4870636555	2022-10-24 19:20	VU3CER	MK68	VU3FOE	MK78xm	28.126026	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870619912	2022-10-24 19:16	VU3CER	MK68	VU3FOE	MK78xm	28.126026	0.2	15	-3	316	89	2	1580	2238	2.5.4
4870603777	2022-10-24 19:12	VU3CER	MK68	VU3FOE	MK78xm	28.126025	0.2	15	-2	316	89	2	1580	2238	2.5.4
4870590124	2022-10-24 19:08	VU3CER	MK68	VU3FOE	MK78xm	28.126025	0.2	15	-3	316	89	2	1580	2238	2.5.4
4870576919	2022-10-24 19:04	VU3CER	MK68	VU3FOE	MK78xm	28.126024	0.2	15	-3	316	89	2	1580	2238	2.5.4
